Ref_base,Ref_roll
MXG_76765315,STELLA_7312812406
MXG_76841158,STELLA_7312779359
MXG_76844360,STELLA_7312761005
MXG_76847071,STELLA_7312770656
MXG_76858679,STELLA_7312743672
MXG_76893889,STELLA_7312743561
MXG_76893895,STELLA_7312743709
MXG_76893910,STELLA_7312794967
MXG_76916987,STELLA_7312758676
MXG_76920613,STELLA_7312743437
MXG_76920618,STELLA_7312743485
MXG_76922667,STELLA_7312788974
MXG_76922782,STELLA_7312770904
MXG_76922833,STELLA_7312770540
MXG_76925018,STELLA_7312761251
MXG_76925019,STELLA_7312761285
MXG_76925021,STELLA_7312740867
MXG_76948312,STELLA_7312806305
MXG_76948671,STELLA_7312731162
MXG_76948672,STELLA_7312731163
MXG_76948673,STELLA_7312731164
MXG_76949814,STELLA_7312752979
MXG_76974385,STELLA_7312770284
MXG_76974536,STELLA_7312809951
MXG_77002023,STELLA_7312812399
MXG_77113549,STELLA_7312728399
MXG_77177099,STELLA_7312752964
MXG_77201134,STELLA_7312773736
MXG_77273147,STELLA_7312803245
MXG_77291482,STELLA_7312785168
MXG_77319210,STELLA_7312794853
MXG_77337175,STELLA_7312737252
MXG_77371816,STELLA_7312818399
MXG_77400647,STELLA_7312755166
MXG_77439965,STELLA_7312803719
MXG_77537327,STELLA_7312794660
MXG_77551106,STELLA_7312518084
MXG_77613980,STELLA_7312743202
MXG_77613992,STELLA_7312740872
MXG_77653482,STELLA_7312764560
MXG_77657133,STELLA_7312812060
MXG_77760225,STELLA_7312782194
MXG_77809415,STELLA_7312737601
MXG_77809424,STELLA_7312737909
MXG_77824493,STELLA_7312785780
MXG_77898070,STELLA_7312737764
MXG_77899375,STELLA_7312737702
MXG_77900754,STELLA_7312815892
MXG_77918278,STELLA_7312770995
MXG_77930516,STELLA_7312773987
MXG_78075960,STELLA_7312752553
MXG_78075966,STELLA_7312752659
MXG_78107525,STELLA_7312728470
MXG_78107529,STELLA_7312728741
MXG_78107678,STELLA_7312755396
MXG_78107688,STELLA_7312755531
MXG_78134924,STELLA_7312776215
MXG_78134925,STELLA_7312776303
MXG_78134928,STELLA_7312776635
